,Age,EmployeeNumber,MaritalStatus,count
0,30,457.3333333,Divorced,1
1,30,457.3333333,Married,2
2,43.2,409.6,Divorced,2
3,43.2,409.6,Married,2
4,43.2,409.6,Single,1
5,20,111.3333333,Single,3
6,22.25,112,Divorced,2
7,22.25,112,Married,1
8,22.25,112,Single,1
9,24.8,65.2,Divorced,1
10,24.8,65.2,Married,3
11,24.8,65.2,Single,1
12,19.5,264.5,Single,4
13,19.8,454.4,Single,5
14,24,320.8,Divorced,3
15,24,320.8,Married,2
16,25.4,425.2,Divorced,2
17,25.4,425.2,Married,2
18,25.4,425.2,Single,1
19,28.25,15.25,Divorced,1
20,28.25,15.25,Married,1
21,28.25,15.25,Single,2
22,27.8,79.6,Divorced,1
23,27.8,79.6,Married,2
24,27.8,79.6,Single,2
25,27.6,220.8,Divorced,2
26,27.6,220.8,Married,3
27,27.8,282,Married,2
28,27.8,282,Single,3
29,28.8,337.2,Divorced,1
30,28.8,337.2,Married,1
31,28.8,337.2,Single,3
32,28.4,387.6,Married,2
33,28.4,387.6,Single,3
34,27.2,443.6,Married,3
35,27.2,443.6,Single,2
36,29,467.2,Divorced,1
37,29,467.2,Married,2
38,29,467.2,Single,2
39,30.25,31.25,Divorced,2
40,30.25,31.25,Single,2
41,30.75,93.25,Divorced,1
42,30.75,93.25,Married,1
43,30.75,93.25,Single,2
44,30.25,140,Divorced,2
45,30.25,140,Married,2
46,30.2,189.6,Divorced,1
47,30.2,189.6,Married,2
48,30.2,189.6,Single,2
49,19.25,634.5,Single,4
50,22,630.6,Married,3
51,22,630.6,Single,2
52,24.4,551.6,Divorced,1
53,24.4,551.6,Married,2
54,24.4,551.6,Single,2
55,24.4,656.2,Married,5
56,21,905.6666667,Married,1
57,21,905.6666667,Single,2
58,19.75,964.25,Married,1
59,19.75,964.25,Single,3
60,26,583.6,Divorced,3
61,26,583.6,Single,2
62,26.6,799.2,Divorced,2
63,26.6,799.2,Married,1
64,26.6,799.2,Single,2
65,30,525.75,Married,1
66,30,525.75,Single,3
67,30,571.25,Married,2
68,30,571.25,Single,2
69,31,639,Divorced,3
70,31,639,Married,2
71,30.25,848.75,Divorced,1
72,30.25,848.75,Married,2
73,30.25,848.75,Single,1
74,32,865,Divorced,2
75,32,865,Married,3
76,31.4,942.2,Married,4
77,31.4,942.2,Single,1
78,30.8,990.8,Divorced,1
79,30.8,990.8,Married,3
80,30.8,990.8,Single,1
81,33,817.75,Divorced,1
82,33,817.75,Married,1
83,33,817.75,Single,2
84,20.75,1047.75,Married,1
85,20.75,1047.75,Single,3
86,20,1176.2,Married,1
87,20,1176.2,Single,4
88,26,1051.8,Divorced,1
89,26,1051.8,Married,3
90,26,1051.8,Single,1
91,25,1156.4,Divorced,1
92,25,1156.4,Married,3
93,25,1156.4,Single,1
94,20.4,1258.4,Married,1
95,20.4,1258.4,Single,4
96,22.6,1467,Married,2
97,22.6,1467,Single,3
98,25.2,1289.8,Married,1
99,25.2,1289.8,Single,4
100,25.4,1415.4,Married,3
101,25.4,1415.4,Single,2
102,30.66666667,1026,Married,1
103,30.66666667,1026,Single,2
104,30.66666667,1126.333333,Married,3
105,30.8,1207.6,Divorced,3
106,30.8,1207.6,Married,2
107,30.8,1255.4,Married,2
108,30.8,1255.4,Single,3
109,31,1313.8,Divorced,1
110,31,1313.8,Married,4
111,33,1517.6,Married,3
112,33,1517.6,Single,2
113,19.75,1646,Single,4
114,22.8,1663.6,Divorced,1
115,22.8,1663.6,Married,2
116,22.8,1663.6,Single,2
117,24.75,1607.75,Divorced,2
118,24.75,1607.75,Married,1
119,24.75,1607.75,Single,1
120,24.8,1711.4,Divorced,1
121,24.8,1711.4,Married,3
122,24.8,1711.4,Single,1
123,20,1880,Single,3
124,22.4,1934.6,Married,2
125,22.4,1934.6,Single,3
126,25.6,1842.2,Married,4
127,25.6,1842.2,Single,1
128,27.4,1628,Divorced,2
129,27.4,1628,Married,2
130,27.4,1628,Single,1
131,27.66666667,1794.666667,Married,2
132,27.66666667,1794.666667,Single,1
133,27,1976,Married,3
134,27,1976,Single,1
135,32.33333333,1563,Married,3
136,32,1640.25,Divorced,2
137,32,1640.25,Married,1
138,32,1640.25,Single,1
139,31.6,1708,Married,3
140,31.6,1708,Single,2
141,33,1732.8,Divorced,2
142,33,1732.8,Married,1
143,33,1732.8,Single,2
144,31.8,1837.6,Married,3
145,31.8,1837.6,Single,2
146,36.25,23.75,Married,2
147,36.25,23.75,Single,2
148,36.4,79.2,Divorced,2
149,36.4,79.2,Married,2
150,36.4,79.2,Single,1
151,36.8,124.6,Divorced,2
152,36.8,124.6,Married,1
153,36.8,124.6,Single,2
154,36.2,198.4,Divorced,2
155,36.2,198.4,Married,2
156,36.2,198.4,Single,1
157,38,260.2,Married,3
158,38,260.2,Single,2
159,36.5,301.75,Divorced,2
160,36.5,301.75,Single,2
161,36.75,358.25,Divorced,1
162,36.75,358.25,Married,3
163,36.75,392.75,Divorced,1
164,36.75,392.75,Married,1
165,36.75,392.75,Single,2
166,36.4,447.8,Divorced,2
167,36.4,447.8,Married,2
168,36.4,447.8,Single,1
169,36.4,499.2,Divorced,1
170,36.4,499.2,Married,4
171,37,563.6,Married,2
172,37,563.6,Single,3
173,37.4,642.6,Divorced,1
174,37.4,642.6,Married,3
175,37.4,642.6,Single,1
176,39.6,653.6,Divorced,1
177,39.6,653.6,Married,2
178,39.6,653.6,Single,2
179,36.33333333,804.6666667,Divorced,1
180,36.33333333,804.6666667,Married,1
181,36.33333333,804.6666667,Single,1
182,36.25,858,Divorced,1
183,36.25,858,Married,3
184,36.5,919.25,Married,2
185,36.5,919.25,Single,2
186,36.25,971.25,Divorced,1
187,36.25,971.25,Married,2
188,36.25,971.25,Single,1
189,43.75,47.5,Divorced,2
190,43.75,47.5,Married,2
191,43.25,180.75,Divorced,1
192,43.25,180.75,Married,2
193,43.25,180.75,Single,1
194,50.4,100.8,Divorced,1
195,50.4,100.8,Married,3
196,50.4,100.8,Single,1
197,50.8,174.2,Married,1
198,50.8,174.2,Single,4
199,43,558,Divorced,3
200,43,558,Married,1
201,43.6,699.4,Divorced,1
202,43.6,699.4,Married,2
203,43.6,699.4,Single,2
204,43.66666667,856.3333333,Married,2
205,43.66666667,856.3333333,Single,1
206,43.33333333,911.6666667,Divorced,1
207,43.33333333,911.6666667,Married,2
208,53.6,642,Married,3
209,53.6,642,Single,2
210,53,882,Divorced,1
211,53,882,Married,2
212,53,882,Single,2
213,36,1055.666667,Divorced,1
214,36,1055.666667,Single,2
215,37.2,1153.4,Divorced,1
216,37.2,1153.4,Married,2
217,37.2,1153.4,Single,2
218,36,1264.2,Divorced,2
219,36,1264.2,Married,2
220,36,1264.2,Single,1
221,36,1414.5,Married,2
222,36,1414.5,Single,2
223,37.4,1396.4,Divorced,2
224,37.4,1396.4,Married,1
225,37.4,1396.4,Single,2
226,36,1587.25,Married,2
227,36,1587.25,Single,2
228,37.8,1568.8,Married,4
229,37.8,1568.8,Single,1
230,39,1369.666667,Married,2
231,39,1369.666667,Single,1
232,39,1523.666667,Married,1
233,39,1523.666667,Single,2
234,36,1663.6,Divorced,1
235,36,1663.6,Married,3
236,36,1663.6,Single,1
237,37,1733.8,Divorced,2
238,37,1733.8,Married,2
239,37,1733.8,Single,1
240,39.4,1629.4,Divorced,1
241,39.4,1629.4,Married,2
242,39.4,1629.4,Single,2
243,39,1783,Divorced,1
244,39,1783,Married,1
245,39,1783,Single,1
246,36.6,1867.4,Married,4
247,36.6,1867.4,Single,1
248,37.2,1939,Divorced,2
249,37.2,1939,Married,2
250,37.2,1939,Single,1
251,36,2038.2,Divorced,2
252,36,2038.2,Married,3
253,39,2038.5,Married,2
254,39,2038.5,Single,2
255,43.4,1105.4,Divorced,1
256,43.4,1105.4,Married,3
257,43.4,1105.4,Single,1
258,43.8,1226.4,Married,2
259,43.8,1226.4,Single,3
260,43.8,1295.2,Divorced,1
261,43.8,1295.2,Married,3
262,43.8,1295.2,Single,1
263,43.8,1465,Married,1
264,43.8,1465,Single,4
265,54.8,1366.4,Divorced,2
266,54.8,1366.4,Married,1
267,54.8,1366.4,Single,2
268,43.66666667,1576.666667,Divorced,2
269,43.66666667,1576.666667,Married,1
270,43.6,1680,Divorced,1
271,43.6,1680,Married,4
272,45.4,1705,Divorced,2
273,45.4,1705,Married,1
274,45.4,1705,Single,2
275,43.2,1799.8,Divorced,1
276,43.2,1799.8,Married,2
277,43.2,1799.8,Single,2
278,45.6,1800,Divorced,1
279,45.6,1800,Married,3
280,45.6,1800,Single,1
281,45.2,1868.6,Divorced,2
282,45.2,1868.6,Married,3
283,44.2,1972.4,Married,2
284,44.2,1972.4,Single,3
285,50.2,1635.6,Divorced,1
286,50.2,1635.6,Married,3
287,50.2,1635.6,Single,1
288,24.66666667,145,Married,2
289,24.66666667,145,Single,1
290,25.66666667,174.6666667,Married,3
291,32.33333333,11.33333333,Divorced,1
292,32.33333333,11.33333333,Married,1
293,32.33333333,11.33333333,Single,1
294,32.75,49.25,Married,1
295,32.75,49.25,Single,3
296,34.4,28,Divorced,1
297,34.4,28,Married,2
298,34.4,28,Single,2
299,32,108.25,Married,2
300,32,108.25,Single,2
301,32.25,188,Divorced,1
302,32.25,188,Married,1
